location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
터키,2023-06-06,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-07,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-08,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-09,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-10,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-11,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-12,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-13,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-14,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-15,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-16,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-17,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-18,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-19,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-20,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-21,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-22,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-23,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-24,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-25,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-26,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-27,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-28,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-29,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-06-30,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-01,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-02,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-03,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-04,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-05,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-06,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-07,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-08,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-09,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-10,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-11,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-12,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-13,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-14,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-15,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-16,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-17,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-18,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-19,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-20,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-21,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-22,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-23,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-24,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-25,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-26,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-27,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-28,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-29,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-30,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-07-31,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-01,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-02,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-03,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-04,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-05,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-06,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-07,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-08,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-09,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-10,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-11,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-12,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-13,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-14,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-15,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-16,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-17,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-18,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-19,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-20,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-21,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-22,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-23,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-24,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-25,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-26,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-27,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-28,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-29,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-30,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-08-31,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-01,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-02,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-03,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-04,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-05,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-06,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-07,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-08,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-09,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-10,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-11,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-12,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-13,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-14,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-15,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-16,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-17,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-18,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-19,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-20,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-21,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-22,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-23,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-24,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-25,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-26,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-27,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-28,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-29,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-09-30,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-01,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-02,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-03,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-04,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-05,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-06,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-07,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-08,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-09,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-10,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-11,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-12,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-13,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-14,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-15,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-16,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-17,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-18,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-19,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-20,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-21,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-22,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-23,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-24,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-25,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-26,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-27,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-28,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-29,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-30,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-10-31,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-11-01,17004677.0,101419.0,,,,,,,12.13,85341248
터키,2023-11-02,17004677.0,101419.0,,,,,,,12.13,85341248
