location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
중앙아프리카공화국,2023-04-03,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-04,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-05,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-06,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-07,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-08,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-09,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-10,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-11,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-12,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-13,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-14,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-15,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-16,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-17,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-18,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-19,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-20,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-21,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-22,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-23,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-24,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-25,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-26,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-27,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-28,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-29,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-04-30,15367.0,113.0,,,2893159.0,2381935.0,2266531.0,,6.1,5579148
중앙아프리카공화국,2023-05-01,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-02,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-03,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-04,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-05,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-06,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-07,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-08,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-09,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-10,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-11,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-12,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-13,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-14,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-15,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-16,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-17,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-18,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-19,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-20,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-21,15367.0,113.0,,,2914105.0,2381935.0,2266531.0,,6.1,5579148
중앙아프리카공화국,2023-05-22,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-23,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-24,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-25,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-26,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-27,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-28,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-29,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-30,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-05-31,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-01,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-02,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-03,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-04,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-05,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-06,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-07,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-08,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-09,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-10,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-11,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-12,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-13,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-14,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-15,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-16,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-17,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-18,15367.0,113.0,,,3109186.0,2600389.0,2484985.0,,6.1,5579148
중앙아프리카공화국,2023-06-19,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-20,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-21,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-22,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-23,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-24,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-25,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-26,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-27,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-28,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-29,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-06-30,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-01,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-02,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-03,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-04,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-05,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-06,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-07,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-08,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-09,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-10,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-11,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-12,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-13,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-14,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-15,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-16,15367.0,113.0,,,3182417.0,2600389.0,2484985.0,,6.1,5579148
중앙아프리카공화국,2023-07-17,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-18,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-19,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-20,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-21,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-22,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-23,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-24,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-25,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-26,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-27,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-28,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-29,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-30,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-07-31,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-01,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-02,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-03,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-04,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-05,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-06,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-07,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-08,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-09,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-10,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-11,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-12,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-13,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-14,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-15,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-16,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-17,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-18,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-19,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-20,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-21,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-22,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-23,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-24,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-25,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-26,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-27,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-28,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-29,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-30,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-08-31,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-01,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-02,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-03,15367.0,113.0,,,3342248.0,2600389.0,2484985.0,,6.1,5579148
중앙아프리카공화국,2023-09-04,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-05,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-06,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-07,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-08,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-09,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-10,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-11,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-12,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-13,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-14,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-15,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-16,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-17,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-18,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-19,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-20,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-21,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-22,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-23,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-24,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-25,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-26,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-27,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-28,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-29,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-09-30,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-01,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-02,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-03,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-04,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-05,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-06,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-07,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-08,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-09,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-10,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-11,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-12,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-13,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-14,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-15,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-16,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-17,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-18,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-19,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-20,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-21,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-22,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-23,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-24,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-25,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-26,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-27,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-28,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-29,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-30,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-10-31,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-11-01,15367.0,113.0,,,,,,,6.1,5579148
중앙아프리카공화국,2023-11-02,15367.0,113.0,,,,,,,6.1,5579148
